Windows System Service Dispatch Table (SSDT)
KernelBase: 0xFFFFF807E8E00000

=== KeServiceDescriptorTable ===
  RVA: 0x12018C0  PhysicalAddr: 0xFFFFF807EA0018C0
┌─────┬───────────────────────────────────────────────────────┬───────┬────────────────────┐
│ Id  │                         Name                          │ Index │    PhysicalAddr    │
├─────┼───────────────────────────────────────────────────────┼───────┼────────────────────┤
│ 1   │ NtAccessCheck                                         │ 0x0   │ 0xFFFFF807E8E00000 │
│ 2   │ NtWorkerFactoryWorkerReady                            │ 0x1   │ 0xFFFFF807E8E00000 │
│ 3   │ NtAcceptConnectPort                                   │ 0x2   │ 0xFFFFF807E8E00000 │
│ 4   │ NtMapUserPhysicalPagesScatter                         │ 0x3   │ 0xFFFFF807E8E00000 │
│ 5   │ NtWaitForSingleObject                                 │ 0x4   │ 0xFFFFF807E8E00000 │
│ 6   │ NtCallbackReturn                                      │ 0x5   │ 0xFFFFF807E8E00000 │
│ 7   │ NtReadFile                                            │ 0x6   │ 0xFFFFF807E8E00000 │
│ 8   │ NtDeviceIoControlFile                                 │ 0x7   │ 0xFFFFF807E8E00000 │
│ 9   │ NtWriteFile                                           │ 0x8   │ 0xFFFFF807E8E00000 │
│ 10  │ NtRemoveIoCompletion                                  │ 0x9   │ 0xFFFFF807E8E00000 │
│ 11  │ NtReleaseSemaphore                                    │ 0xA   │ 0xFFFFF807E8E00000 │
│ 12  │ NtReplyWaitReceivePort                                │ 0xB   │ 0xFFFFF807E8E00000 │
│ 13  │ NtReplyPort                                           │ 0xC   │ 0xFFFFF807E8E00000 │
│ 14  │ NtSetInformationThread                                │ 0xD   │ 0xFFFFF807E8E00000 │
│ 15  │ NtSetEvent                                            │ 0xE   │ 0xFFFFF807E8E00000 │
│ 16  │ NtClose                                               │ 0xF   │ 0xFFFFF807E8E00000 │
│ 17  │ NtQueryObject                                         │ 0x10  │ 0xFFFFF807E8E00000 │
│ 18  │ NtQueryInformationFile                                │ 0x11  │ 0xFFFFF807E8E00000 │
│ 19  │ NtOpenKey                                             │ 0x12  │ 0xFFFFF807E8E00000 │
│ 20  │ NtEnumerateValueKey                                   │ 0x13  │ 0xFFFFF807E8E00000 │
│ 21  │ NtFindAtom                                            │ 0x14  │ 0xFFFFF807E8E00000 │
